(0,0)	 deðer=3	 durum=bos
(7,7)	 deðer=3	 durum=bos
(7,8)	 deðer=9	 durum=duvar
(7,9)	 deðer=3	 durum=bos
(7,10)	 deðer=5	 durum=bos
(7,11)	 deðer=8	 durum=duvar
(7,12)	 deðer=4	 durum=bos
(7,13)	 deðer=2	 durum=duvar
(7,14)	 deðer=2	 durum=duvar
(7,15)	 deðer=5	 durum=duvar
(7,16)	 deðer=7	 durum=bos
(7,17)	 deðer=2	 durum=duvar
(7,18)	 deðer=5	 durum=duvar
(7,19)	 deðer=9	 durum=bos
(7,20)	 deðer=9	 durum=bos
(7,21)	 deðer=7	 durum=bos
(7,22)	 deðer=2	 durum=duvar
(7,23)	 deðer=9	 durum=duvar
(7,24)	 deðer=9	 durum=duvar
(7,25)	 deðer=2	 durum=bos
(7,26)	 deðer=5	 durum=duvar
(7,27)	 deðer=7	 durum=bos
(7,28)	 deðer=7	 durum=duvar
(7,29)	 deðer=2	 durum=bos
(7,30)	 deðer=4	 durum=bos
(7,31)	 deðer=6	 durum=bos
(7,32)	 deðer=6	 durum=bos
(7,33)	 deðer=6	 durum=bos
(7,34)	 deðer=3	 durum=bos
(7,35)	 deðer=5	 durum=bos
(7,36)	 deðer=8	 durum=bos
(7,37)	 deðer=6	 durum=bos
(7,38)	 deðer=5	 durum=bos
(7,39)	 deðer=2	 durum=bos
(7,40)	 deðer=3	 durum=duvar
(7,41)	 deðer=3	 durum=duvar
(7,42)	 deðer=9	 durum=bos
(7,43)	 deðer=6	 durum=bos
(7,44)	 deðer=3	 durum=duvar
(7,45)	 deðer=2	 durum=bos
(7,46)	 deðer=6	 durum=duvar
(7,47)	 deðer=2	 durum=bos
(7,48)	 deðer=5	 durum=duvar
(7,49)	 deðer=2	 durum=bos
(8,0)	 deðer=9	 durum=bos
(8,1)	 deðer=9	 durum=bos
(8,2)	 deðer=4	 durum=duvar
(8,3)	 deðer=2	 durum=bos
(8,4)	 deðer=2	 durum=bos
(8,5)	 deðer=5	 durum=bos
(8,6)	 deðer=1	 durum=bos
(8,7)	 deðer=9	 durum=bos
(8,8)	 deðer=3	 durum=bos
(8,9)	 deðer=1	 durum=bos
(8,10)	 deðer=3	 durum=bos
(8,11)	 deðer=4	 durum=bos
(8,12)	 deðer=4	 durum=bos
(8,13)	 deðer=2	 durum=bos
(8,14)	 deðer=3	 durum=bos
(8,15)	 deðer=2	 durum=bos
(8,16)	 deðer=6	 durum=bos
(8,17)	 deðer=4	 durum=duvar
(8,18)	 deðer=8	 durum=bos
(8,19)	 deðer=4	 durum=duvar
(8,20)	 deðer=9	 durum=bos
(8,21)	 deðer=5	 durum=duvar
(8,22)	 deðer=6	 durum=bos
(8,23)	 deðer=3	 durum=bos
(8,24)	 deðer=2	 durum=bos
(8,25)	 deðer=1	 durum=duvar
(8,26)	 deðer=2	 durum=bos
(8,27)	 deðer=8	 durum=bos
(8,28)	 deðer=7	 durum=duvar
(8,29)	 deðer=3	 durum=duvar
(8,30)	 deðer=7	 durum=bos
(8,31)	 deðer=7	 durum=duvar
(8,32)	 deðer=8	 durum=bos
(8,33)	 deðer=3	 durum=bos
(8,34)	 deðer=7	 durum=bos
(8,35)	 deðer=1	 durum=duvar
(8,36)	 deðer=6	 durum=bos
(8,37)	 deðer=3	 durum=duvar
(8,38)	 deðer=4	 durum=bos
(8,39)	 deðer=3	 durum=bos
(8,40)	 deðer=4	 durum=bos
(8,41)	 deðer=1	 durum=duvar
(8,42)	 deðer=7	 durum=bos
(8,43)	 deðer=4	 durum=duvar
(8,44)	 deðer=4	 durum=bos
(8,45)	 deðer=9	 durum=duvar
(8,46)	 deðer=9	 durum=duvar
(8,47)	 deðer=2	 durum=bos
(8,48)	 deðer=8	 durum=bos
(8,49)	 deðer=7	 durum=bos
(9,0)	 deðer=8	 durum=bos
(9,1)	 deðer=8	 durum=duvar
(9,2)	 deðer=6	 durum=bos
(9,3)	 deðer=9	 durum=bos
(9,4)	 deðer=4	 durum=duvar
(9,5)	 deðer=6	 durum=bos
(9,6)	 deðer=2	 durum=bos
(9,7)	 deðer=2	 durum=bos
(9,8)	 deðer=3	 durum=bos
(9,9)	 deðer=7	 durum=bos
(9,10)	 deðer=5	 durum=bos
(9,11)	 deðer=6	 durum=bos
(9,12)	 deðer=4	 durum=duvar
(9,13)	 deðer=8	 durum=duvar
(9,14)	 deðer=1	 durum=bos
(9,15)	 deðer=8	 durum=bos
(9,16)	 deðer=6	 durum=bos
(9,17)	 deðer=5	 durum=bos
(9,18)	 deðer=6	 durum=bos
(9,19)	 deðer=3	 durum=duvar
(9,20)	 deðer=8	 durum=bos
(9,21)	 deðer=3	 durum=bos
(9,22)	 deðer=5	 durum=bos
(9,23)	 deðer=8	 durum=bos
(9,24)	 deðer=2	 durum=bos
(9,25)	 deðer=6	 durum=duvar
(9,26)	 deðer=4	 durum=bos
(9,27)	 deðer=2	 durum=bos
(9,28)	 deðer=2	 durum=bos
(9,29)	 deðer=6	 durum=bos
(9,30)	 deðer=7	 durum=bos
(9,31)	 deðer=4	 durum=bos
(9,32)	 deðer=8	 durum=bos
(9,33)	 deðer=8	 durum=bos
(9,34)	 deðer=9	 durum=duvar
(9,35)	 deðer=7	 durum=bos
(9,36)	 deðer=7	 durum=bos
(9,37)	 deðer=7	 durum=bos
(9,38)	 deðer=3	 durum=bos
(9,39)	 deðer=9	 durum=bos
(9,40)	 deðer=4	 durum=duvar
(9,41)	 deðer=2	 durum=bos
(9,42)	 deðer=1	 durum=duvar
(9,43)	 deðer=1	 durum=bos
(9,44)	 deðer=9	 durum=bos
(9,45)	 deðer=7	 durum=bos
(9,46)	 deðer=9	 durum=bos
(9,47)	 deðer=9	 durum=duvar
(9,48)	 deðer=4	 durum=bos
(9,49)	 deðer=5	 durum=bos
(10,0)	 deðer=1	 durum=bos
(10,1)	 deðer=9	 durum=bos
(10,2)	 deðer=1	 durum=bos
(10,3)	 deðer=8	 durum=bos
(10,4)	 deðer=3	 durum=bos
(10,5)	 deðer=7	 durum=bos
(10,6)	 deðer=5	 durum=bos
(10,7)	 deðer=3	 durum=bos
(10,8)	 deðer=9	 durum=duvar
(10,9)	 deðer=9	 durum=duvar
(10,10)	 deðer=7	 durum=bos
(10,11)	 deðer=2	 durum=bos
(10,12)	 deðer=9	 durum=bos
(10,13)	 deðer=1	 durum=bos
(10,14)	 deðer=6	 durum=bos
(10,15)	 deðer=3	 durum=duvar
(10,16)	 deðer=1	 durum=bos
(10,17)	 deðer=2	 durum=bos
(10,18)	 deðer=9	 durum=duvar
(10,19)	 deðer=8	 durum=bos
(10,20)	 deðer=4	 durum=bos
(10,21)	 deðer=8	 durum=bos
(10,22)	 deðer=9	 durum=bos
(10,23)	 deðer=5	 durum=duvar
(10,24)	 deðer=6	 durum=bos
(10,25)	 deðer=4	 durum=duvar
(10,26)	 deðer=6	 durum=bos
(10,27)	 deðer=5	 durum=duvar
(10,28)	 deðer=3	 durum=bos
(10,29)	 deðer=2	 durum=bos
(10,30)	 deðer=9	 durum=bos
(10,31)	 deðer=9	 durum=duvar
(10,32)	 deðer=2	 durum=duvar
(10,33)	 deðer=9	 durum=duvar
(10,34)	 deðer=5	 durum=bos
(10,35)	 deðer=5	 durum=bos
(10,36)	 deðer=8	 durum=bos
(10,37)	 deðer=6	 durum=bos
(10,38)	 deðer=9	 durum=bos
(10,39)	 deðer=1	 durum=duvar
(10,40)	 deðer=9	 durum=duvar
(10,41)	 deðer=1	 durum=bos
(10,42)	 deðer=2	 durum=bos
(10,43)	 deðer=6	 durum=duvar
(10,44)	 deðer=9	 durum=duvar
(10,45)	 deðer=3	 durum=bos
(10,46)	 deðer=6	 durum=duvar
(10,47)	 deðer=5	 durum=duvar
(10,48)	 deðer=4	 durum=bos
(10,49)	 deðer=5	 durum=bos
(11,0)	 deðer=5	 durum=bos
(11,1)	 deðer=7	 durum=bos
(11,2)	 deðer=1	 durum=duvar
(11,3)	 deðer=9	 durum=bos
(11,4)	 deðer=3	 durum=bos
(11,5)	 deðer=2	 durum=duvar
(11,6)	 deðer=9	 durum=bos
(11,7)	 deðer=5	 durum=duvar
(11,8)	 deðer=5	 durum=bos
(11,9)	 deðer=8	 durum=bos
(11,10)	 deðer=9	 durum=duvar
(11,11)	 deðer=4	 durum=bos
(11,12)	 deðer=2	 durum=bos
(11,13)	 deðer=4	 durum=bos
(11,14)	 deðer=7	 durum=bos
(11,15)	 deðer=1	 durum=bos
(11,16)	 deðer=8	 durum=bos
(11,17)	 deðer=2	 durum=duvar
(11,18)	 deðer=1	 durum=duvar
(11,19)	 deðer=6	 durum=bos
(11,20)	 deðer=2	 durum=bos
(11,21)	 deðer=8	 durum=bos
(11,22)	 deðer=7	 durum=baslangic
(11,23)	 deðer=6	 durum=duvar
(11,24)	 deðer=9	 durum=bos
(11,25)	 deðer=6	 durum=bos
(11,26)	 deðer=1	 durum=bos
(11,27)	 deðer=1	 durum=bos
(11,28)	 deðer=4	 durum=bos
(11,29)	 deðer=7	 durum=duvar
(11,30)	 deðer=2	 durum=bos
(11,31)	 deðer=8	 durum=duvar
(11,32)	 deðer=1	 durum=bos
(11,33)	 deðer=4	 durum=bos
(11,34)	 deðer=3	 durum=duvar
(11,35)	 deðer=1	 durum=bos
(11,36)	 deðer=8	 durum=bos
(11,37)	 deðer=5	 durum=bos
(11,38)	 deðer=2	 durum=bos
(11,39)	 deðer=4	 durum=bos
(11,40)	 deðer=5	 durum=bos
(11,41)	 deðer=3	 durum=duvar
(11,42)	 deðer=2	 durum=bos
(11,43)	 deðer=2	 durum=bos
(11,44)	 deðer=4	 durum=duvar
(11,45)	 deðer=3	 durum=bos
(11,46)	 deðer=1	 durum=bos
(11,47)	 deðer=3	 durum=bos
(11,48)	 deðer=5	 durum=duvar
(11,49)	 deðer=5	 durum=bos
(12,0)	 deðer=6	 durum=duvar
(12,1)	 deðer=8	 durum=duvar
(12,2)	 deðer=9	 durum=duvar
(12,3)	 deðer=9	 durum=bos
(12,4)	 deðer=1	 durum=bos
(12,5)	 deðer=8	 durum=bos
(12,6)	 deðer=1	 durum=bos
(12,7)	 deðer=9	 durum=bos
(12,8)	 deðer=3	 durum=bos
(12,9)	 deðer=4	 durum=bos
(12,10)	 deðer=4	 durum=bos
(12,11)	 deðer=9	 durum=duvar
(12,12)	 deðer=8	 durum=bos
(12,13)	 deðer=5	 durum=bos
(12,14)	 deðer=3	 durum=bos
(12,15)	 deðer=8	 durum=bos
(12,16)	 deðer=5	 durum=duvar
(12,17)	 deðer=6	 durum=bos
(12,18)	 deðer=2	 durum=bos
(12,19)	 deðer=7	 durum=bos
(12,20)	 deðer=3	 durum=duvar
(12,21)	 deðer=6	 durum=duvar
(12,22)	 deðer=6	 durum=duvar
(12,23)	 deðer=2	 durum=bos
(12,24)	 deðer=1	 durum=duvar
(12,25)	 deðer=3	 durum=duvar
(12,26)	 deðer=1	 durum=bos
(12,27)	 deðer=2	 durum=bos
(12,28)	 deðer=5	 durum=bos
(12,29)	 deðer=1	 durum=duvar
(12,30)	 deðer=9	 durum=bos
(12,31)	 deðer=8	 durum=bos
(12,32)	 deðer=3	 durum=bos
(12,33)	 deðer=7	 durum=bos
(12,34)	 deðer=3	 durum=duvar
(12,35)	 deðer=3	 durum=bos
(12,36)	 deðer=8	 durum=bos
(12,37)	 deðer=6	 durum=bos
(12,38)	 deðer=3	 durum=bos
(12,39)	 deðer=8	 durum=bos
(12,40)	 deðer=5	 durum=bos
(12,41)	 deðer=2	 durum=bos
(12,42)	 deðer=9	 durum=duvar
(12,43)	 deðer=7	 durum=bos
(12,44)	 deðer=9	 durum=duvar
(12,45)	 deðer=1	 durum=duvar
(12,46)	 deðer=3	 durum=bos
(12,47)	 deðer=9	 durum=bos
(12,48)	 deðer=4	 durum=bos
(12,49)	 deðer=1	 durum=duvar
(13,0)	 deðer=1	 durum=bos
(13,1)	 deðer=6	 durum=bos
(13,2)	 deðer=4	 durum=bos
(13,3)	 deðer=3	 durum=duvar
(13,4)	 deðer=2	 durum=bos
(13,5)	 deðer=4	 durum=duvar
(13,6)	 deðer=2	 durum=bos
(13,7)	 deðer=6	 durum=bos
(13,8)	 deðer=1	 durum=bos
(13,9)	 deðer=7	 durum=bos
(13,10)	 deðer=4	 durum=duvar
(13,11)	 deðer=2	 durum=bos
(13,12)	 deðer=8	 durum=bos
(13,13)	 deðer=2	 durum=bos
(13,14)	 deðer=3	 durum=bos
(13,15)	 deðer=3	 durum=bos
(13,16)	 deðer=1	 durum=bos
(13,17)	 deðer=8	 durum=bos
(13,18)	 deðer=7	 durum=duvar
(13,19)	 deðer=9	 durum=bos
(13,20)	 deðer=7	 durum=bos
(13,21)	 deðer=8	 durum=duvar
(13,22)	 deðer=9	 durum=duvar
(13,23)	 deðer=3	 durum=bos
(13,24)	 deðer=9	 durum=duvar
(13,25)	 deðer=1	 durum=bos
(13,26)	 deðer=6	 durum=bos
(13,27)	 deðer=7	 durum=bos
(13,28)	 deðer=9	 durum=bos
(13,29)	 deðer=9	 durum=bos
(13,30)	 deðer=5	 durum=duvar
(13,31)	 deðer=1	 durum=bos
(13,32)	 deðer=5	 durum=bos
(13,33)	 deðer=3	 durum=duvar
(13,34)	 deðer=3	 durum=bos
(13,35)	 deðer=7	 durum=bos
(13,36)	 deðer=1	 durum=duvar
(13,37)	 deðer=6	 durum=bos
